authid;authtypecode;main_heading;alt_heading;uri
155;GEOGR_NAME;Germany;"Allemagne|Bundesrepublik Deutschland|BRD|Deutsche Demokratische Republik|DDR|Deutschland|Duitsland";http://www.wikidata.org/entity/Q183
158;GEOGR_NAME;Borneo;;http://www.wikidata.org/entity/Q36117
160;GEOGR_NAME;"Paris (France)";Lutèce|Lutetia|Parigi|Parijs;http://www.wikidata.org/entity/Q90
163;GEOGR_NAME;"Vancouver (British Columbia, Canada)";;http://www.wikidata.org/entity/Q24639
171;GEOGR_NAME;"Florida (USA)";;http://www.wikidata.org/entity/Q812
173;GEOGR_NAME;Netherlands;"Les Pays-Bas|Nederland|Niederlande|Noordelijke Nederlanden|Pays, Bas|Republiek der Zeven Verenigde Nederlanden|Kingdom of the Netherlands";http://www.wikidata.org/entity/Q55|http://www.wikidata.org/entity/Q29999|http://wikidata.org/entity/Q170072
178;GEOGR_NAME;Israel;"Israël|ישראל";http://www.wikidata.org/entity/Q801
181;GEOGR_NAME;"Orkney Islands (United Kingdom)";;http://www.wikidata.org/entity/Q100166
185;GEOGR_NAME;"Franeker (Netherlands)";;http://www.wikidata.org/entity/Q41974
196;GEOGR_NAME;"Bassano del Grappa (Italy)";;http://www.wikidata.org/entity/Q47094
198;GEOGR_NAME;"Veere (Netherlands)";;http://www.wikidata.org/entity/Q10083
200;GEOGR_NAME;"Epe (Netherlands)";;http://www.wikidata.org/entity/Q238396
201;GEOGR_NAME;"Regensburg (Germany)";Ratisbonne;http://www.wikidata.org/entity/Q2978
202;GEOGR_NAME;Austria;"Autriche|Oostenrijk|Österreich";http://www.wikidata.org/entity/Q40
208;GEOGR_NAME;"Husum (Germany)";;http://www.wikidata.org/entity/Q21159
209;GEOGR_NAME;Brazil;"Brasil|República Federativa do Brasil|Brésil|Brasilien";http://www.wikidata.org/entity/Q155
217;GEOGR_NAME;"Mainz (Germany)";Mayence|Mogontiacum;http://www.wikidata.org/entity/Q1720
218;GEOGR_NAME;"Mannheim (Germany)";Manhemium|Mannem|Monnem|Quadratestadt;http://www.wikidata.org/entity/Q2119
219;GEOGR_NAME;Ireland;"Eire|Ierland|Irland|Irlande|Republic of Ireland";http://www.wikidata.org/entity/Q27
222;GEOGR_NAME;"Pittsburgh (PA, USA)";;http://www.wikidata.org/entity/Q1342
226;GEOGR_NAME;"Inn District (Switzerland)";"Bezirk Inn";http://www.wikidata.org/entity/Q659550
228;GEOGR_NAME;"Bavaria (Germany)";Bavière|Bayern|Beieren;http://www.wikidata.org/entity/Q980
231;GEOGR_NAME;"Prussia (Germany)";"Preußen|Pruisen|Prusse";http://www.wikidata.org/entity/Q38872
233;GEOGR_NAME;Peru;;http://www.wikidata.org/entity/Q419
235;GEOGR_NAME;Palestine;Palästina|Palestinië;http://www.wikidata.org/entity/Q23792
240;GEOGR_NAME;"Liège (Belgium)";Luik|Lüttich|Leodium;http://www.wikidata.org/entity/Q3992
241;GEOGR_NAME;"Voorne-Putten (Netherlands)";;http://www.wikidata.org/entity/Q2051339
243;GEOGR_NAME;"Laren (Netherlands)";;http://www.wikidata.org/entity/Q9945
247;GEOGR_NAME;"Meiningen (Germany)";;http://www.wikidata.org/entity/Q487278
248;GEOGR_NAME;"Florence (Italy)";Firenze|Florenz;http://www.wikidata.org/entity/Q2044
249;GEOGR_NAME;"Lisbon (Portugal)";Lisboa|Lisbonne|Lissabon;http://www.wikidata.org/entity/Q597
268;GEOGR_NAME;"Munich (Germany)";"Monaco di Baviera|Monacum|München";http://www.wikidata.org/entity/Q1726
271;GEOGR_NAME;"Milan (Italy)";Milano;http://www.wikidata.org/entity/Q490
273;GEOGR_NAME;"United Kingdom";"Angleterre|Engeland|England|Great Britain|UK|Verenigd Koninkrijk";http://www.wikidata.org/entity/Q145|http://www.wikidata.org/entity/Q21|http://wikidata.org/entity/Q174193|http://wikidata.org/entity/Q161885
275;GEOGR_NAME;Sweden;Schweden|Suède|Sverige|Zweden;http://www.wikidata.org/entity/Q34
311;UNIF_TITLE;"Passions-Musik nach dem Evangelisten Matthäus, H. 782";;
312;UNIF_TITLE;"Passions-Musik nach dem Evangelisten Matthäus, H. 786";;
313;UNIF_TITLE;"Passions-Musik nach dem Evangelisten Marcus, H. 791.";;
314;UNIF_TITLE;"Passions-Musik nach dem Evangelisten Lucas, H. 792.";;
315;UNIF_TITLE;"Passions-Musik nach dem Evangelisten Johannes, H. 789";;
331;UNIF_TITLE;"Precetti ragionali per apprendere l'accompagnamento del basso sopra gli strumenti da tasto come il gravicembalo, il cembalo, etc.";;
340;UNIF_TITLE;"Egodocumenten, 0929-9807 ; deel 31";;
373;UNIF_TITLE;"Presse und Geschichte ; Bd. 50.";;
382;UNIF_TITLE;"Beiträge zur Musikforschung (Musikverlag Katzbichler) ; Bd. 14.";;http://www.wikidata.org/entity/Q72098621
395;UNIF_TITLE;"Middeleeuwse verzamelhandschriften uit de Nederlanden ; 13, 1-2.";;
397;UNIF_TITLE;"Atlantis (Rodopi (Firm)) ; 1.";;http://www.wikidata.org/entity/Q25373
418;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 107.";;
429;UNIF_TITLE;"Mestres de l'Escolania de Montserrat ; vol. 1, etc.";;
462;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 14.";;
493;UNIF_TITLE;"Atlantis (Rodopi (Firm)) ; 2.";;http://www.wikidata.org/entity/Q25373
497;UNIF_TITLE;"Codex Rost.";;http://www.wikidata.org/entity/Q97394922
503;UNIF_TITLE;"Braunschweiger Werkstücke ; Bd. 78.";;
504;UNIF_TITLE;"Braunschweiger Werkstücke. Reihe A, Veröffentlichungen aus dem Stadtarchiv und der Stadtbibliothek ; Bd. 29.";;
518;UNIF_TITLE;"Studien und Materialien zur Musikwissenschaft ; Bd. 75.";;
519;UNIF_TITLE;"Sammlung musikwissenschaftlicher Abhandlungen (Valentin Koerner GmbH) ; Bd. 66.";;
535;UNIF_TITLE;"Memoria (Nijmegen, Netherlands)";;
539;UNIF_TITLE;"Musikwissenschaftliche Schriften ; Bd. 45.";;
540;UNIF_TITLE;"Cahiers des Amériques ; 1.";;
541;UNIF_TITLE;"Cahiers des Amériques. Collection Musique.";;
557;UNIF_TITLE;"Studies van het Instituut voor Intellectuele Betrekkingen tussen de Westeuropese Landen in de Zeventiende Eeuw ; d. 3.";;
567;UNIF_TITLE;"Wydawnictwo dawnej muzyki polskiej ; 75.";;
574;UNIF_TITLE;"Atlantis (Rodopi (Firm)) ; 8.";;http://www.wikidata.org/entity/Q25373
630;UNIF_TITLE;"Pocket mentor series.";;
637;UNIF_TITLE;"Publicación ... de la Institución ""Fernando el Católico"" ; no. 971.";;
642;UNIF_TITLE;"Beiträge zur Musikforschung (Musikverlag Katzbichler) ; Bd. 5.";;http://www.wikidata.org/entity/Q72098621
646;UNIF_TITLE;"Musik der frühen Neuzeit ; Bd. 2.";;
650;UNIF_TITLE;"Colección Clave (Granada, Spain)";;
656;UNIF_TITLE;"Kleine Schriften des Historischen Museums Frankfurt a.M. ; Bd. 23.";;
663;UNIF_TITLE;"Shonen Jump manga.";;
676;UNIF_TITLE;"Schwäbische Geschichtsquellen und Forschungen ; 26. Bd.";;
733;UNIF_TITLE;"Norddeutsche Orgelbauer und ihre Werke ; Bd. 9.";;
769;UNIF_TITLE;"Sammlung musikwissenschaftlicher Abhandlungen (Valentin Koerner GmbH) ; Bd. 61.";;
820;UNIF_TITLE;"Gemeindebuch (Evangelische Kirchengemeinde Rondorf) ; Bd. 3.";;
837;UNIF_TITLE;"Grosse Komponisten und ihre Zeit.";;
842;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 140.";;
886;UNIF_TITLE;"Explorations (Pittsburgh, Pa.)";;
927;UNIF_TITLE;"Collected studies ; CS727.";;
929;UNIF_TITLE;"Fryske Akademy (Series) ; nr. 917.";;http://www.wikidata.org/entity/Q528584
936;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 274.";;
948;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 7.";;
952;UNIF_TITLE;"Dokumentensammlung Johann Jacob Heinrich Westphals. 1993.";;
964;UNIF_TITLE;"Nederduytschen Helicon.";;
979;UNIF_TITLE;"Wegzeichen Musik ; 4.";;
981;UNIF_TITLE;"Centro di studi L'Italia del Rinascimento e l'Europa (Series) ; 2.";;
986;UNIF_TITLE;"Schriften des Händelhauses in Halle ; 14.";;
1015;UNIF_TITLE;"Kataloge und Schriften (Bischofliches Zentralarchiv Regensburg) ; Bd. 11.";;
1021;UNIF_TITLE;"Fryske Akademy (Series) ; nr. 648.";;http://www.wikidata.org/entity/Q528584
1034;UNIF_TITLE;"Teatro (Florence, Italy) ; 4.";;
1037;UNIF_TITLE;"Dresdner Beiträge zur Musikforschung ; 3.";;
1049;UNIF_TITLE;"Ausstellungskataloge (Staatsbibliothek Preussischer Kulturbesitz) ; 25.";;
1050;UNIF_TITLE;"Ausstellungskataloge (Staatsbibliothek Preussischer Kulturbesitz) ; 34.";;
1068;UNIF_TITLE;"Beiträge zur rheinischen Musikgeschichte ; Heft 131.";;
1079;UNIF_TITLE;"Dortmunder Bach-Forschungen ; Bd. 8.";;
1090;UNIF_TITLE;"Mainzer Studien zur Musikwissenschaft ; Bd. 45.";;
1096;UNIF_TITLE;"Caporali missal Illustrations Exhibitions.";;
1102;UNIF_TITLE;"Festschrift series ; no. 22.";;
1108;UNIF_TITLE;"Ortus Studien ; 15.";;
1110;UNIF_TITLE;"Santa Maria Novella (Mandragora)";;http://www.wikidata.org/entity/Q51175
1111;UNIF_TITLE;"Beiträge zur rheinischen Musikgeschichte ; Heft 126.";;
1115;UNIF_TITLE;"Studien und Materialien zur Musikwissenschaft ; Bd. 95.";;
1117;UNIF_TITLE;"Schriftenreihe der Hochschule für Musik München ; Bd. 12.";;
1166;UNIF_TITLE;"Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft ; Bd. 117.";;
1170;UNIF_TITLE;"Bärenreiter Werkeinführungen.";;
1188;CORPO_NAME;"St. Mary's Church Nottingham (United Kingdom)";;http://www.wikidata.org/entity/Q7594396
1190;CORPO_NAME;"Gardane (Firm)";;http://www.wikidata.org/entity/Q117383652
1191;CORPO_NAME;"Herne (Arnsberg, Germany)";;http://www.wikidata.org/entity/Q2904
1193;CORPO_NAME;"Haags Gemeentemuseum (The Hague, Netherlands)";;http://www.wikidata.org/entity/Q1499958
1196;CORPO_NAME;"Scottish National Portrait Gallery (Edinburgh, Scotland)";"National Galleries of Scotland";http://www.wikidata.org/entity/Q2441562
1197;CORPO_NAME;"Museum für Kunst und Kulturgeschichte der Hansestadt Lübeck (Germany)";;http://www.wikidata.org/entity/Q37710741
1200;CORPO_NAME;"Kunsthalle Hamburg (Germany)";"Hamburger Kunsthalle";http://www.wikidata.org/entity/Q28737659
1201;CORPO_NAME;"Beth Haim (Ouderkerk aan de Amstel, Netherlands)";;http://www.wikidata.org/entity/Q831131
1203;CORPO_NAME;"Accademia di belle arti di Bologna (Italy)";;http://www.wikidata.org/entity/Q2822373
1204;CORPO_NAME;"Nuestra Señora de la Asunción de Longares (Spain)";;
1205;CORPO_NAME;"Orgelbau Felsberg AG (Felsberg, Switzerland)";;http://www.wikidata.org/entity/Q112097720
1206;CORPO_NAME;"Centre d'études de la musique française aux XVIIIe &amp; XIXe siècles (Paris, France)";;
1209;CORPO_NAME;"Družba ""Braća hrvatskog zmaja"".";;http://www.wikidata.org/entity/Q640591
1210;CORPO_NAME;"Nacionalna i sveučilišna biblioteka.";;http://www.wikidata.org/entity/Q1520466
1211;CORPO_NAME;"United Nations";;http://www.wikidata.org/entity/Q1065
1212;CORPO_NAME;"Bach-Archiv Leipzig (Germany)";"Nationale Forschungs- und Gedenkstätten Johann Sebastian Bach der DDR";http://www.wikidata.org/entity/Q798038
1213;CORPO_NAME;"Sächsische Akademie der Wissenschaften zu Leipzig (Germany)";"Saxon Academy of Sciences";http://www.wikidata.org/entity/Q451079
1214;CORPO_NAME;"Harvard University (Cambridge, MA, USA)";"Harvard|University of Harvard";http://www.wikidata.org/entity/Q13371
1217;CORPO_NAME;"Evangelische Kirche in Hessen und Nassau (Hessen, Germany)";;http://www.wikidata.org/entity/Q28738319
1218;CORPO_NAME;"Gesellschaft der Orgelfreunde";;http://www.wikidata.org/entity/Q1518383
1220;CORPO_NAME;"Chiesa conventuale dei Cavalieri di Santo Stefano di Pisa (Pisa, Italy)";;http://www.wikidata.org/entity/Q3674338
1223;CORPO_NAME;"Biblioteca nazionale centrale di Firenze (Italy)";;http://www.wikidata.org/entity/Q460907
1224;CORPO_NAME;"Hrvatski diplomatski klub,";;
1226;CORPO_NAME;"Stads- of Athenaeumbibliotheek Deventer (Netherlands)";;
1228;CORPO_NAME;"Palazzo reale di Milano (Milan, Italy)";"Royal Palace of Milan";http://www.wikidata.org/entity/Q51105
1229;CORPO_NAME;"Beethoven-Haus (Bonn, Germany)";;http://www.wikidata.org/entity/Q318084
1230;CORPO_NAME;"Breitkopf &amp; Härtel (Leipzig and Wiesbaden, Germany)";;http://www.wikidata.org/entity/Q634246
1231;CORPO_NAME;"Musée des Beaux-Arts de Bordeaux (France)";;http://www.wikidata.org/entity/Q954222
1232;CORPO_NAME;"Musée des beaux-arts de Caen (France)";;http://www.wikidata.org/entity/Q569079
1233;CORPO_NAME;Heinrich-Schütz-Gedenkstätte;;http://www.wikidata.org/entity/Q1596460
1234;CORPO_NAME;"Stadtmuseum Bonn (Germany)";;http://www.wikidata.org/entity/Q24036381
1235;CORPO_NAME;"Gesellschaft der Musikfreunde (Vienna, Austria)";"Société philharmonique de Vienne|Gesellschaft der Musikfreunde in Wien";http://www.wikidata.org/entity/Q694323
1236;CORPO_NAME;"Ernst-Moritz-Arndt-Haus (Bonn, Germany)";;http://www.wikidata.org/entity/Q27147296
1237;CORPO_NAME;"Museum Meermanno (The Hague, Netherlands)";"Huis van het Boek|Museum Meermanno-Westreenanium";http://www.wikidata.org/entity/Q2754878
1239;CORPO_NAME;"Historisch Museum Marialust (Apeldoorn, Netherlands)";;
1241;CORPO_NAME;"Cattedrale (Vicenza, Italy)";;http://www.wikidata.org/entity/Q2019284
1242;CORPO_NAME;"Associazione veneta per la ricerca delle fonti musicali (Venice, Italy)";;
1243;CORPO_NAME;"Arcadian Academy (Rome, Italy)";"Fondazione Arcadia|Accademia dell'Arcadia|Accademia degli Arcadi|Arcadische Academie";http://www.wikidata.org/entity/Q338478
1244;CORPO_NAME;"Rijksmuseum (Amsterdam, Netherlands)";;http://www.wikidata.org/entity/Q190804
1248;CORPO_NAME;"Grote Kerk (Vlaardingen, Netherlands)";;http://www.wikidata.org/entity/Q2154512
1249;CORPO_NAME;"Stichting Orgelhistorische Studies";;
1251;CORPO_NAME;"Fondo musicale Albert Dunning (Pavia, Italy)";;
1252;CORPO_NAME;"Leipziger Stadtbibliothek (Germany)";"Leipziger Städtische Bibliotheken|Public Library Leipzig|Stadtbücherei Leipzig";http://www.wikidata.org/entity/Q2326875
1254;CORPO_NAME;"Koninklijke Bibliotheek (The Hague, Netherlands)";"KB|Dutch Royal Library";http://www.wikidata.org/entity/Q1526131
1255;CORPO_NAME;"Meertens Instituut (Amsterdam, Netherlands)";;http://www.wikidata.org/entity/Q487857
1257;CORPO_NAME;"Mdina Cathedral (Mdina, Malta)";;http://www.wikidata.org/entity/Q1630170
1258;CORPO_NAME;"Cathedral Museum (Mdina, Malta)";;http://www.wikidata.org/entity/Q111831818
1261;CORPO_NAME;"Mauritshuis (The Hague, Netherlands)";"Koninklijk Kabinet van Schilderijen Mauritshuis";http://www.wikidata.org/entity/Q221092
1262;CORPO_NAME;"Stichting Manifestatie Historisch Interieur.";;
1263;CORPO_NAME;"Onze-Lieve-Vrouwekathedraal (Antwerp, Belgium)";"Antwerp Cathedral|Cathédrale d'Anvers|Onze-Lieve-Vrouw ten Hemel Opgenomenkerk";http://www.wikidata.org/entity/Q5901
1264;CORPO_NAME;"Goethe-Museum Düsseldorf, Anton-und-Katharina-Kippenberg-Stiftung (Germany)";;http://www.wikidata.org/entity/Q28746263
1265;CORPO_NAME;"National Gallery of Art (Washington, DC, USA)";"Mellon Gallery of Art|NGA";http://www.wikidata.org/entity/Q214867
1267;CORPO_NAME;"Palazzo Braschi,";;http://www.wikidata.org/entity/Q1090910
1268;CORPO_NAME;"Historic Brass Society";;http://www.wikidata.org/entity/Q5773406
1271;CORPO_NAME;"Folger Shakespeare Library (Washington DC, USA)";;http://www.wikidata.org/entity/Q728116
1272;CORPO_NAME;"Castello del Buonconsiglio (Trento, Italy)";;http://www.wikidata.org/entity/Q247451
1274;CORPO_NAME;"Institut für Denkmalpflege (Berlin, Germany)";;http://www.wikidata.org/entity/Q116119328
1275;CORPO_NAME;"Metropolitan Museum of Art (New York City, NY, USA)";"Met Museum|The Met|The Metropolitan Museum of Art";http://www.wikidata.org/entity/Q160236
1276;CORPO_NAME;"National Gallery (London, United Kingdom)";"National Gallery, London|The National Gallery";http://www.wikidata.org/entity/Q180788
1277;CORPO_NAME;"Katholieke Universiteit Leuven (Belgium)";"KU Leuven|Universitas Catholica Lovaniensis";http://www.wikidata.org/entity/Q833670
1278;CORPO_NAME;"Sint-Salvatorskatedraal (Bruges, Belgium)";;http://www.wikidata.org/entity/Q1378149
1279;CORPO_NAME;"Grote of Sint-Laurenskerk (Alkmaar, Netherlands)";"Grote of St.-Laurenskerk|Laurenskerk";http://www.wikidata.org/entity/Q639909
1280;CORPO_NAME;"Museum Catharijneconvent (Utrecht, Netherlands)";"Rijksmuseum Het Catharijneconvent";http://www.wikidata.org/entity/Q1954426
1282;CORPO_NAME;"Museo di Castelvecchio (Verona, Italy)";;http://www.wikidata.org/entity/Q2518724
1284;CORPO_NAME;"Accademia Nazionale di Santa Cecilia (Rome, Italy)";;http://www.wikidata.org/entity/Q181410
1286;CORPO_NAME;"Evangelisch-Lutherse Gemeente te Amsterdam (Netherlands)";;
1290;CORPO_NAME;"Hauptkirche Sankt Michaelis (Hamburg, Germany)";"Michaeliskirche Hamburg|St. Michaelis Church";http://www.wikidata.org/entity/Q674472
1292;CORPO_NAME;"Nederlands Genootschap van Bibliofielen (Netherlands)";;http://www.wikidata.org/entity/Q18655559
1294;CORPO_NAME;"Residenzschloss Dresden (Germany)";"Dresden Castle|Dresdner Schloss";http://www.wikidata.org/entity/Q167314
1295;CORPO_NAME;"Conservatorio di musica ""Cesare Pollini"" (Padua, Italy)";;http://www.wikidata.org/entity/Q3687220
1297;CORPO_NAME;"Johann-Sebastian-Bach-Institut (Göttingen, Germany)";;http://www.wikidata.org/entity/Q1692186
1298;CORPO_NAME;"University of Wrocław (Wrocław, Poland)";"Uniwersytet Wrocławski";http://www.wikidata.org/entity/Q315658
1299;CORPO_NAME;"Berliner Singakademie (Berlin, Germany)";;http://www.wikidata.org/entity/Q521789
1300;CORPO_NAME;"Staatliches Institut für Musikforschung (Berlin-Germany)";"Staatliches Institut für Musikforschung Preussischer Kulturbesitz";http://www.wikidata.org/entity/Q2324586
1301;CORPO_NAME;"Bibliothèque nationale de France (Paris)";"BnF|Bibliothèque nationale";http://www.wikidata.org/entity/Q193563
1302;CORPO_NAME;"Deutsches Historisches Institut in Rom (Rome, Italy)";"German Historical Institute in Rome|Istituto Germanico di Roma";http://www.wikidata.org/entity/Q321341
1303;CORPO_NAME;"Opernhaus am Hagenmarkt (Braunschweig, Germany)";"Hagenmarkt-Theater|Opera house at Hagenmarkt";http://www.wikidata.org/entity/Q2026673
1305;CORPO_NAME;"Forster and Andrews";;http://www.wikidata.org/entity/Q5470630
1307;CORPO_NAME;"University of California, Berkeley (CA, USA)";"UC Berkeley|University of California at Berkeley";http://www.wikidata.org/entity/Q168756
1308;CORPO_NAME;"Pinacoteca nazionale (Bologna, Italy)";;http://www.wikidata.org/entity/Q1103550
1311;CORPO_NAME;"Ruprecht-Karls-Universität Heidelberg (Germany)";"Heidelberg University|Universität Heidelberg";http://www.wikidata.org/entity/Q151510
1313;CORPO_NAME;"International Fellowship for Research in Hymnology";;
1314;CORPO_NAME;"Bibliothek der Hansestadt Lübeck (Germany)";"Stadtbibliothek Lübeck";http://www.wikidata.org/entity/Q2326792
1315;CORPO_NAME;"Stift Melk (Austria)";"Melk Abbey";http://www.wikidata.org/entity/Q660082
1316;CORPO_NAME;"Universiteit van Harderwijk (Netherlands)";"Academie des vorstendoms Gelre en graafschaps Zutphen|Academie te Harderwijk|Gelderse Universiteit|Harderwijksche Hoogeschool|University of Harderwijk";http://www.wikidata.org/entity/Q1816221
1318;CORPO_NAME;"Cattedrale di S. Croce (Forlì, Italy)";;http://www.wikidata.org/entity/Q2942665
1319;CORPO_NAME;"Basilica di Santa Maria Maggiore (Rome, Italy)";"Santa Maria Maggiore";http://www.wikidata.org/entity/Q186282
1320;CORPO_NAME;"Gemäldegalerie (Berlin, Germany)";;http://www.wikidata.org/entity/Q165631
1322;CORPO_NAME;"Staatliche Museen zu Berlin (Germany)";"Preußischer Kulturbesitz";http://www.wikidata.org/entity/Q700216
1323;CORPO_NAME;"Istituto italiano Antonio Vivaldi (Venice, Italy)";;http://www.wikidata.org/entity/Q116702219
1325;CORPO_NAME;"Arcibiskupský hudební archív (Kroměříž, Czech Republic)";"Erzbischöflichen Musiksammlung in Kremsier";http://www.wikidata.org/entity/Q12020876
1326;CORPO_NAME;"Bayerisches Nationalmuseum (Munich, Germany)";;http://www.wikidata.org/entity/Q631056
1329;CORPO_NAME;"Isabella Stewart Gardner Museum.";;http://www.wikidata.org/entity/Q49135
1330;CORPO_NAME;"Isabella Stewart Gardner Museum";;http://www.wikidata.org/entity/Q49135
1331;CORPO_NAME;"New York Pro Musica (New York City, NY, USA)";;http://www.wikidata.org/entity/Q16956406
1333;CORPO_NAME;"Bayerische Staatsbibliothek (Munich, Germany)";"Bavarian State Library|BSB|Stabi München|Bibliotheca Regia Monacensis";http://www.wikidata.org/entity/Q256507
1334;CORPO_NAME;"Schermar-Bibliothek (Ulm, Germany)";;
1335;CORPO_NAME;"Stadtbibliothek Ulm (Germany)";;http://www.wikidata.org/entity/Q27478901
1336;CORPO_NAME;"Cattedrale di Osimo (Osimo, Italy).";;http://www.wikidata.org/entity/Q2942566
1337;CORPO_NAME;"HESI (Firm),";;
1339;CORPO_NAME;"Schwäbisches Landesmusikarchiv (Tübingen, Germany)";;http://www.wikidata.org/entity/Q1954566
1340;CORPO_NAME;"Kloster Rot an der Rot (Germany)";;http://www.wikidata.org/entity/Q478794
1341;CORPO_NAME;"Benediktinerabtei St. Georg, Isny (Germany)";"Isny Abbey|Kloster Isny";http://www.wikidata.org/entity/Q878638
1343;CORPO_NAME;"Passauer Dom (Germany)";;http://www.wikidata.org/entity/Q267182
1344;CORPO_NAME;"Benediktiner-Abtei Ottobeuren (Germany)";;http://www.wikidata.org/entity/Q702001
